,Country,Country Code,Year,PC1,PC2,Cluster,hover_text
0,Algeria,DZA,2019,3.9879738477608657,-1.4171673915983725,2,<b>Algeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $354<br>  Natural Gas: $128<br>  Gold: $0
1,Angola,AGO,2019,1.5244059376821004,-2.8241946389917327,2,<b>Angola</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $452<br>  Gold: $0
2,Azerbaijan,AZE,2019,4.5309078814218795,0.3276059729898107,3,<b>Azerbaijan</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $784<br>  Natural Gas: $152<br>  Gold: $11
3,Bahrain,BHR,2019,2.2864462952338735,0.3064761580627876,2,<b>Bahrain</b><br>Cluster: 2<br><br>Top Resources:<br>  Aluminium: $1.3K<br>  Natural Gas: $696
4,Bolivia,BOL,2019,-1.9506055882768123,3.533321127730255,0,<b>Bolivia</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $103<br>  Natural Gas: $82<br>  Zinc: $79
5,Burkina Faso,BFA,2019,-4.034231270847013,-0.2778988614748343,1,<b>Burkina Faso</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $70<br>  Zinc: $8<br>  Silver: $0
6,Cameroon,CMR,2019,-2.8053170152868057,-2.2388607286436897,1,<b>Cameroon</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $4<br>  Gold: $1
7,Chad,TCD,2019,0.2052475145256814,-2.781491678293504,2,<b>Chad</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $78
8,Chile,CHL,2019,-4.8708206467051065,4.794368969012141,0,<b>Chile</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $1.2K<br>  Gold: $57<br>  Silver: $22
9,"Congo, Dem. Rep.",COD,2019,-4.2016168190249505,0.9899652403262301,1,"<b>Congo, Dem. Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $55<br>  Cobalt: $20<br>  Gold: $13"
10,"Congo, Rep.",COG,2019,1.6405154467192709,-2.3788430513812684,2,"<b>Congo, Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $617<br>  Zinc: $1<br>  Gold: $1"
11,Cote d'Ivoire,CIV,2019,-3.8656003650990884,-1.1531794764529466,1,<b>Cote d'Ivoire</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $33<br>  Silver: $0
12,Ecuador,ECU,2019,0.6464164458833592,-1.2568950796816993,2,<b>Ecuador</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $315<br>  Gold: $10<br>  Copper: $1
13,"Egypt, Arab Rep.",EGY,2019,2.0776003919053716,-0.8245923715912363,2,"<b>Egypt, Arab Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $63<br>  Natural Gas: $38<br>  Gold: $4"
14,Equatorial Guinea,GNQ,2019,1.80668439679421,-2.2233725768408443,2,<b>Equatorial Guinea</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $989<br>  Gold: $3
15,Ethiopia,ETH,2019,-3.2404485423984086,-2.4055736842359656,1,<b>Ethiopia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $1<br>  Silver: $0<br>  Coal: $0
16,Gabon,GAB,2019,1.9313288515142875,-2.9162560669776436,2,<b>Gabon</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $990<br>  Manganese: $917<br>  Gold: $1
17,Ghana,GHA,2019,-3.883860099610142,-0.5971549915469416,1,<b>Ghana</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $132<br>  Manganese: $41<br>  Aluminium: $2
18,Guinea,GIN,2019,-3.9835869780760356,-0.6285966189132635,1,<b>Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Bauxite: $106<br>  Gold: $60
19,Indonesia,IDN,2019,0.39730729520641805,3.197419453279043,0,<b>Indonesia</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $82<br>  Oil: $30<br>  Nickel: $22
20,"Iran, Islamic Rep.",IRN,2019,4.113144444980344,1.8180293577612625,3,"<b>Iran, Islamic Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $414<br>  Natural Gas: $167<br>  Copper: $14"
21,Iraq,IRQ,2019,3.843667423985572,-2.041767058073555,2,<b>Iraq</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $1.2K<br>  Natural Gas: $17
22,Kazakhstan,KAZ,2019,3.6778482168465154,8.247276819869318,0,<b>Kazakhstan</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $1.0K<br>  Coal: $216<br>  Gold: $159
