,Country,Country Code,Year,PC1,PC2,Cluster,Aluminium,Bauxite,Cadmium,Coal,Cobalt,Copper,Gold,Lead,Lithium,Magnesium compounds,Manganese,Natural Gas,Natural Graphite,Nickel,Oil,Rare Earth,Silver,Tin,Vanadium,Zinc,Aluminium_Share,Bauxite_Share,Cadmium_Share,Coal_Share,Cobalt_Share,Copper_Share,Gold_Share,Lead_Share,Lithium_Share,Magnesium compounds_Share,Manganese_Share,Natural Gas_Share,Natural Graphite_Share,Nickel_Share,Oil_Share,Rare Earth_Share,Silver_Share,Tin_Share,Vanadium_Share,Zinc_Share,Dominant_Resources,Is_Dominant,Max_Production_Share,hover_text
0,Algeria,DZA,1995,4.05387015175234,-0.7255173274054028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898200.0,0.0,0.0,0.0,4194760244.45832,0.0,0.0,9464268608.0,0.0,354200.0,0.0,0.0,4752000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032601218633552524,0.0,0.0,0.0,2.9880815754321053,0.0,0.0,1.9623431027758889,0.0,0.014027850332937002,0.0,0.0,0.050864786139006676,[],False,2.9880815754321053,"<b>Algeria</b><br>Cluster: Some Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $9.5B (2.0% global)<br>   Natural Gas: $4.2B (3.0% global)<br>   Zinc: $4.8M<br>   Lead: $898.2K<br>   Silver: $354.2K"
1,Angola,AGO,1995,1.3583316973279356,-2.2416646865084173,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4573759478.263201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9483337527359451,0.0,0.0,0.0,0.0,0.0,[],False,0.9483337527359451,"<b>Angola</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $4.6B"
2,Azerbaijan,AZE,1995,3.1717295685041695,-0.7229139866323971,2,22220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439652623.98937446,0.0,0.0,1337525074.9854074,0.0,0.0,0.0,0.0,0.0,0.055311992826738494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131806894252362,0.0,0.0,0.2773255086472095,0.0,0.0,0.0,0.0,0.0,[],False,0.3131806894252362,"<b>Azerbaijan</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $1.3B<br>   Natural Gas: $439.7M<br>   Aluminium: $22.2M"
3,Bahrain,BHR,1995,1.0891997159341946,1.7252040017646462,2,916843660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514735410.0097514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2822884763798683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666491175617677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,2.2822884763798683,"<b>Bahrain</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Aluminium: $916.8M (2.3% global)<br>   Natural Gas: $514.7M"
4,Bolivia,BOL,1995,-2.016490363351369,1.9768070588944464,3,0.0,0.0,0.0,0.0,0.0,414020.0,191586500.0,20346226.0,0.0,0.0,0.0,207609783.6024905,0.0,0.0,0.0,0.0,75276886.3,121736086.95652172,0.0,192892920.0,0.0,0.0,0.0,0.0,0.0,0.0012495692921593365,0.6663721460606327,0.7384900492024836,0.0,0.0,0.0,0.14788806346717828,0.0,0.0,0.0,0.0,2.9812899337829357,8.115492842869376,0.0,2.064700573133107,[],False,8.115492842869376,"<b>Bolivia</b><br>Cluster: Minerals, No Oil<br><br><b>Top Production (Total Value):</b><br>   Natural Gas: $207.6M<br>   Zinc: $192.9M (2.1% global)<br>   Gold: $191.6M<br>   Tin: $121.7M (8.1% global)<br>   Silver: $75.3M (3.0% global)"
5,Burkina Faso,BFA,1995,-3.5213749702319643,-1.1303795012923752,1,0.0,0.0,0.0,0.0,0.0,0.0,18101300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06295956201239299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.06295956201239299,"<b>Burkina Faso</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Gold: $18.1M"
6,Cameroon,CMR,1995,-3.181219826582864,-0.9381677996789256,1,160186000.0,0.0,0.0,0.0,0.0,0.0,7448000.000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3987491846509421,0.0,0.0,0.0,0.0,0.0,0.025905477389375518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.3987491846509421,"<b>Cameroon</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Aluminium: $160.2M<br>   Gold: $7.4M"
7,Chad,TCD,1995,-3.4371620437370427,-1.598112907276348,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.0,"<b>Chad</b><br>Cluster: Oil, Few Minerals<br><br>(No significant production)"
8,Chile,CHL,1995,-4.3133870830217065,5.452860988440584,3,0.0,0.0,0.0,68025704.16044414,0.0,8112836000.0,592980500.0,942112.0,9280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184378455.8,0.0,0.0,46731960.0,0.0,0.0,0.0,0.03256263836059497,0.0,24.485654649352163,2.062492338223763,0.03419505598897065,22.795967744088856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.302183462960023,0.0,0.0,0.5002127843553482,"['Copper', 'Lithium']",True,24.485654649352163,"<b>Chile</b><br>Cluster: Minerals, No Oil<br><br>🔴 <b>MAJOR PRODUCER (>15% global)</b><br>   • Copper: 24.5%<br>   • Lithium: 22.8%<br><br><b>Top Production (Total Value):</b><br>   Copper: $8.1B (24.5% global)<br>   Gold: $593.0M (2.1% global)<br>   Silver: $184.4M (7.3% global)<br>   Coal: $68.0M<br>   Zinc: $46.7M"
9,"Congo, Dem. Rep.",COD,1995,-3.593431755490565,-0.5632642745474129,1,0.0,0.0,0.0,4260577.201137411,104208000.0,113963080.0,15694000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39151304.347826086,0.0,5963760.0,0.0,0.0,0.0,0.002039459000392178,8.901918976545842,0.34395624657721324,0.05458654164189841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.610007748460503,0.0,0.06383530660445338,[],False,8.901918976545842,"<b>Congo, Dem. Rep.</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Copper: $114.0M<br>   Cobalt: $104.2M (8.9% global)<br>   Tin: $39.2M (2.6% global)<br>   Gold: $15.7M<br>   Zinc: $6.0M"
