Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,1995.0,3.454119213327078,-1.017639247789909,3,Petrostates,"<b>Algeria</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $8,133,647,870<br>  Natural Gas: $3,798,226,825<br>  Zinc: $4,428,000"
Angola,AGO,1995.0,0.5801025843409948,-1.7005115994039903,2,Oil Exporters,"<b>Angola</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $3,930,715,683"
Azerbaijan,AZE,1995.0,2.6546324436373343,-1.0620652884275492,2,Oil Exporters,"<b>Azerbaijan</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $1,149,476,883<br>  Natural Gas: $398,091,965<br>  Aluminium: $22,220,000"
Bahrain,BHR,1995.0,6.248448747505273,-0.3393081992789114,3,Petrostates,"<b>Bahrain</b><br>Cluster: 3<br><br>Top Resources:<br>  Aluminium: $916,843,660<br>  Natural Gas: $466,077,121<br>  Oil: $247,117,223"
Bolivia,BOL,1995.0,0.25556794697267826,1.3342201336877921,2,Oil Exporters,"<b>Bolivia</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $187,984,285<br>  Zinc: $179,741,130<br>  Gold: $178,622,000"
Burkina Faso,BFA,1995.0,-3.9075359010562174,-1.0794153658599661,1,Gold & Coal,"<b>Burkina Faso</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $16,876,400"
Cameroon,CMR,1995.0,-0.2902645677179718,-1.285806964066162,2,Oil Exporters,"<b>Cameroon</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $675,662,282<br>  Aluminium: $160,186,000<br>  Gold: $6,944,000"
Chile,CHL,1995.0,-3.0636170463399637,6.2061905710561955,0,Diversified Exporters,"<b>Chile</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $7,590,230,000<br>  Gold: $552,854,000<br>  Iron ore: $182,311,579"
"Congo, Dem. Rep.",COD,1995.0,-2.6660114332597167,-0.5442772798463043,1,Gold & Coal,"<b>Congo, Dem. Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $189,685,929<br>  Copper: $106,621,900<br>  Cobalt: $97,361,000"
"Congo, Rep.",COG,1995.0,0.8509218187793328,-1.7112263818732765,2,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $1,116,470,481"
Cote d'Ivoire,CIV,1995.0,-2.6304481913005495,-1.1309029882493007,1,Gold & Coal,"<b>Cote d'Ivoire</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $61,184,973<br>  Gold: $24,056,000"
Ecuador,ECU,1995.0,0.2086942638220771,-0.6796239110235593,2,Oil Exporters,"<b>Ecuador</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $2,453,379,794<br>  Gold: $91,884,000"
"Egypt, Arab Rep.",EGY,1995.0,1.480837892174415,-1.2074704954804139,2,Oil Exporters,"<b>Egypt, Arab Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $5,736,006,212<br>  Natural Gas: $743,152,564<br>  Aluminium: $363,600,000"
Equatorial Guinea,GNQ,1995.0,-0.4501914641958364,-1.659748702217729,2,Oil Exporters,"<b>Equatorial Guinea</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $43,477,617"
Ethiopia,ETH,1995.0,-3.8621951048254135,-1.4203747331716863,1,Gold & Coal,"<b>Ethiopia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $14,669,200"
Gabon,GAB,1995.0,2.1519216564064108,-2.0810360474043366,2,Oil Exporters,"<b>Gabon</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $2,208,703,083<br>  Manganese: $485,229,279"
Ghana,GHA,1995.0,-2.7206614010340777,0.23115239436052654,1,Gold & Coal,"<b>Ghana</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $636,492,000<br>  Aluminium: $273,508,000<br>  Manganese: $109,046,150"
Guinea,GIN,1995.0,-4.032557381366032,-0.0377674873347827,1,Gold & Coal,"<b>Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Bauxite: $416,736,122<br>  Gold: $97,488,800"
Indonesia,IDN,1995.0,0.9652445659919593,2.311603043217165,0,Diversified Exporters,"<b>Indonesia</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $9,801,097,000<br>  Natural Gas: $3,806,820,710<br>  Copper: $1,884,900,000"
"Iran, Islamic Rep.",IRN,1995.0,3.0590616886346496,1.1312502962219133,3,Petrostates,"<b>Iran, Islamic Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $23,252,911,622<br>  Natural Gas: $1,968,439,143<br>  Iron ore: $578,488,664"
Iraq,IRQ,1995.0,1.463603195536085,-1.374498246027294,2,Oil Exporters,"<b>Iraq</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $3,293,588,563<br>  Natural Gas: $186,015,912"
Kazakhstan,KAZ,1995.0,1.4997381326003023,6.357787102752398,0,Diversified Exporters,"<b>Kazakhstan</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $3,278,518,055<br>  Oil: $2,797,715,541<br>  Iron ore: $735,089,636"
Kenya,KEN,1995.0,-3.852419925600148,-1.493871541610157,1,Gold & Coal,"<b>Kenya</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $1,872,400<br>  Lead: $3,732"
Kuwait,KWT,1995.0,6.56045686474518,-1.0278218244675488,3,Petrostates,"<b>Kuwait</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $13,229,617,623<br>  Natural Gas: $544,433,954"
Lao PDR,LAO,1995.0,-3.8490359141952903,-1.4078988506686598,1,Gold & Coal,"<b>Lao PDR</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $1,397,300"
Liberia,LBR,1995.0,-3.953801539083611,-0.7315012580046039,1,Gold & Coal,"<b>Liberia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $9,920,000"
Libya,LBY,1995.0,4.570644741579232,-1.175776302028679,3,Petrostates,"<b>Libya</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $8,937,755,756<br>  Natural Gas: $372,031,825"
Madagascar,MDG,1995.0,-3.8495051545259567,-1.5264763856139925,1,Gold & Coal,"<b>Madagascar</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Graphite: $7,993,412"
Malawi,MWI,1995.0,-3.848421285326541,-1.498700660784314,1,Gold & Coal,"<b>Malawi</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $590,575"
Malaysia,MYS,1995.0,2.818188747138261,0.4345661721319019,2,Oil Exporters,"<b>Malaysia</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $4,372,606,012<br>  Natural Gas: $1,747,358,185<br>  Copper: $63,290,550"
Mali,MLI,1995.0,-3.992697598535189,-0.43900582510528224,1,Gold & Coal,"<b>Mali</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $96,720,000"
Mongolia,MNG,1995.0,-4.395256507313621,5.564093845965662,0,Diversified Exporters,"<b>Mongolia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $371,795,000<br>  Coal: $196,976,448<br>  Gold: $55,849,600"
Mozambique,MOZ,1995.0,-3.8589244290746416,-1.4467025436239707,1,Gold & Coal,"<b>Mozambique</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $2,926,400<br>  Natural Graphite: $1,497,122<br>  Bauxite: $250,580"
Myanmar,MMR,1995.0,-2.3588418462210665,-1.1235717615887006,1,Gold & Coal,"<b>Myanmar</b><br>Cluster: 1<br><br>Top Resources:<br>  Tin: $142,947,205<br>  Natural Gas: $99,527,624<br>  Oil: $77,576,040"
Niger,NER,1995.0,-3.8572990798661033,-1.2221235807075925,1,Gold & Coal,"<b>Niger</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $6,731,413<br>  Gold: $1,240,000"
Nigeria,NGA,1995.0,0.5740614306286143,-1.497415200937535,2,Oil Exporters,"<b>Nigeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $12,102,888,978<br>  Natural Gas: $283,600,916<br>  Coal: $767,944"
Oman,OMN,1995.0,4.960261222287874,-0.43290081728658336,3,Petrostates,"<b>Oman</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $5,391,224,459<br>  Natural Gas: $235,836,397<br>  Gold: $7,576,400"
Papua New Guinea,PNG,1995.0,-0.6866687450914291,4.007174984605917,0,Diversified Exporters,"<b>Papua New Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $648,847,850<br>  Gold: $641,092,400<br>  Oil: $585,448,855"
Qatar,QAT,1995.0,7.0156794435984455,-0.851332768986354,3,Petrostates,"<b>Qatar</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,862,620,730<br>  Natural Gas: $574,994,039"
Russian Federation,RUS,1995.0,4.116758632205578,4.902563263909997,0,Diversified Exporters,"<b>Russian Federation</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $38,730,959,809<br>  Natural Gas: $33,428,774,851<br>  Coal: $10,315,376,667"
Saudi Arabia,SAU,1995.0,5.6098065966322,0.07073878008221463,3,Petrostates,"<b>Saudi Arabia</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $55,735,431,979<br>  Natural Gas: $2,519,136,630<br>  Gold: $100,192,000"
Tanzania,TZA,1995.0,-3.8559567565482644,-1.4429656502161068,1,Gold & Coal,"<b>Tanzania</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $3,968,000<br>  Coal: $1,700,856"
Trinidad and Tobago,TTO,1995.0,4.696837579609321,-0.9409748559040297,3,Petrostates,"<b>Trinidad and Tobago</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $881,974,508<br>  Natural Gas: $455,933,379"
Uganda,UGA,1995.0,-3.9127333287171377,-1.0403311019247994,1,Gold & Coal,"<b>Uganda</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $38,365,600"
United Arab Emirates,ARE,1995.0,7.885422871954396,-0.5634872755708297,3,Petrostates,"<b>United Arab Emirates</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $15,179,899,282<br>  Natural Gas: $1,886,225,441<br>  Aluminium: $499,748,000"
Uzbekistan,UZB,1995.0,1.6397992822861303,2.8973366836830654,0,Diversified Exporters,"<b>Uzbekistan</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $2,677,132,795<br>  Oil: $1,070,129,637<br>  Gold: $788,640,000"
"Venezuela, RB",VEN,1995.0,4.663755045298696,1.0145754080577116,3,Petrostates,"<b>Venezuela, RB</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $18,378,609,646<br>  Natural Gas: $1,885,552,782<br>  Aluminium: $1,272,250,540"
Viet Nam,VNM,1995.0,-1.7032580112194022,-0.8125300438799197,1,Gold & Coal,"<b>Viet Nam</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $959,536,534<br>  Coal: $283,476,000<br>  Zinc: $14,760,000"
"Yemen, Rep.",YEM,1995.0,-0.03330028975863822,-1.6762427236144135,2,Oil Exporters,"<b>Yemen, Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $2,183,015,384"
Zambia,ZMB,1995.0,-4.213433877070133,1.9785786999868593,1,Gold & Coal,"<b>Zambia</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $1,042,910,900<br>  Cobalt: $170,877,300<br>  Coal: $5,562,508"
Zimbabwe,ZWE,1995.0,-4.139529828449561,2.2414725302599168,1,Gold & Coal,"<b>Zimbabwe</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $297,091,600<br>  Coal: $218,023,715<br>  Copper: $24,537,250"
