iso3,knn_cells,total_cells,knn_pct,sample
LBY,237,900,26.33,Sample A  hard-coded  (54 countries)
PNG,230,900,25.56,Sample A  hard-coded  (54 countries)
GNQ,212,900,23.56,Sample A  hard-coded  (54 countries)
LBR,178,900,19.78,Sample A  hard-coded  (54 countries)
UZB,170,900,18.89,Sample A  hard-coded  (54 countries)
ARE,165,900,18.33,Sample A  hard-coded  (54 countries)
TCD,150,900,16.67,Sample A  hard-coded  (54 countries)
TTO,147,900,16.33,Sample A  hard-coded  (54 countries)
QAT,143,900,15.89,Sample A  hard-coded  (54 countries)
MMR,136,900,15.11,Sample A  hard-coded  (54 countries)
VEN,132,900,14.67,Sample A  hard-coded  (54 countries)
KAZ,128,900,14.22,Sample A  hard-coded  (54 countries)
MWI,127,900,14.11,Sample A  hard-coded  (54 countries)
ZWE,125,900,13.89,Sample A  hard-coded  (54 countries)
GIN,125,900,13.89,Sample A  hard-coded  (54 countries)
YEM,123,900,13.67,Sample A  hard-coded  (54 countries)
ETH,120,900,13.33,Sample A  hard-coded  (54 countries)
GAB,109,900,12.11,Sample A  hard-coded  (54 countries)
ECU,107,900,11.89,Sample A  hard-coded  (54 countries)
CMR,106,900,11.78,Sample A  hard-coded  (54 countries)
COG,105,900,11.67,Sample A  hard-coded  (54 countries)
SAU,100,900,11.11,Sample A  hard-coded  (54 countries)
GHA,100,900,11.11,Sample A  hard-coded  (54 countries)
IRN,99,900,11.0,Sample A  hard-coded  (54 countries)
IRQ,98,900,10.89,Sample A  hard-coded  (54 countries)
COD,88,900,9.78,Sample A  hard-coded  (54 countries)
LAO,88,900,9.78,Sample A  hard-coded  (54 countries)
ZMB,87,900,9.67,Sample A  hard-coded  (54 countries)
TGO,82,900,9.11,Sample A  hard-coded  (54 countries)
OMN,81,900,9.0,Sample A  hard-coded  (54 countries)
KWT,80,900,8.89,Sample A  hard-coded  (54 countries)
CIV,80,900,8.89,Sample A  hard-coded  (54 countries)
MLI,76,900,8.44,Sample A  hard-coded  (54 countries)
NGA,75,900,8.33,Sample A  hard-coded  (54 countries)
MDG,74,900,8.22,Sample A  hard-coded  (54 countries)
NER,70,900,7.78,Sample A  hard-coded  (54 countries)
MOZ,70,900,7.78,Sample A  hard-coded  (54 countries)
RUS,67,900,7.44,Sample A  hard-coded  (54 countries)
UGA,66,900,7.33,Sample A  hard-coded  (54 countries)
BHR,66,900,7.33,Sample A  hard-coded  (54 countries)
AGO,65,900,7.22,Sample A  hard-coded  (54 countries)
RWA,65,900,7.22,Sample A  hard-coded  (54 countries)
VNM,64,900,7.11,Sample A  hard-coded  (54 countries)
IDN,64,900,7.11,Sample A  hard-coded  (54 countries)
KEN,61,900,6.78,Sample A  hard-coded  (54 countries)
CHL,56,900,6.22,Sample A  hard-coded  (54 countries)
EGY,55,900,6.11,Sample A  hard-coded  (54 countries)
MNG,55,900,6.11,Sample A  hard-coded  (54 countries)
MYS,55,900,6.11,Sample A  hard-coded  (54 countries)
AZE,50,900,5.56,Sample A  hard-coded  (54 countries)
TZA,50,900,5.56,Sample A  hard-coded  (54 countries)
DZA,31,900,3.44,Sample A  hard-coded  (54 countries)
BFA,30,900,3.33,Sample A  hard-coded  (54 countries)
BOL,0,900,0.0,Sample A  hard-coded  (54 countries)
QAT,143,900,15.89,Sample B  selection   (47 countries)
MMR,136,900,15.11,Sample B  selection   (47 countries)
VEN,132,900,14.67,Sample B  selection   (47 countries)
KAZ,128,900,14.22,Sample B  selection   (47 countries)
ZWE,125,900,13.89,Sample B  selection   (47 countries)
GIN,125,900,13.89,Sample B  selection   (47 countries)
YEM,123,900,13.67,Sample B  selection   (47 countries)
EST,114,900,12.67,Sample B  selection   (47 countries)
GAB,109,900,12.11,Sample B  selection   (47 countries)
ECU,107,900,11.89,Sample B  selection   (47 countries)
CMR,106,900,11.78,Sample B  selection   (47 countries)
COG,105,900,11.67,Sample B  selection   (47 countries)
TUN,100,900,11.11,Sample B  selection   (47 countries)
SAU,100,900,11.11,Sample B  selection   (47 countries)
GHA,100,900,11.11,Sample B  selection   (47 countries)
IRN,99,900,11.0,Sample B  selection   (47 countries)
IRQ,98,900,10.89,Sample B  selection   (47 countries)
COD,88,900,9.78,Sample B  selection   (47 countries)
MRT,85,900,9.44,Sample B  selection   (47 countries)
OMN,81,900,9.0,Sample B  selection   (47 countries)
KWT,80,900,8.89,Sample B  selection   (47 countries)
NGA,75,900,8.33,Sample B  selection   (47 countries)
JAM,75,900,8.33,Sample B  selection   (47 countries)
BIH,70,900,7.78,Sample B  selection   (47 countries)
PAK,68,900,7.56,Sample B  selection   (47 countries)
RUS,67,900,7.44,Sample B  selection   (47 countries)
BHR,66,900,7.33,Sample B  selection   (47 countries)
AGO,65,900,7.22,Sample B  selection   (47 countries)
VNM,64,900,7.11,Sample B  selection   (47 countries)
IDN,64,900,7.11,Sample B  selection   (47 countries)
UKR,63,900,7.0,Sample B  selection   (47 countries)
DOM,59,900,6.56,Sample B  selection   (47 countries)
ZAF,56,900,6.22,Sample B  selection   (47 countries)
CHL,56,900,6.22,Sample B  selection   (47 countries)
PER,56,900,6.22,Sample B  selection   (47 countries)
EGY,55,900,6.11,Sample B  selection   (47 countries)
MNG,55,900,6.11,Sample B  selection   (47 countries)
MYS,55,900,6.11,Sample B  selection   (47 countries)
ARG,53,900,5.89,Sample B  selection   (47 countries)
COL,50,900,5.56,Sample B  selection   (47 countries)
AZE,50,900,5.56,Sample B  selection   (47 countries)
ROU,50,900,5.56,Sample B  selection   (47 countries)
MEX,50,900,5.56,Sample B  selection   (47 countries)
DZA,31,900,3.44,Sample B  selection   (47 countries)
ALB,14,900,1.56,Sample B  selection   (47 countries)
BWA,14,900,1.56,Sample B  selection   (47 countries)
BOL,0,900,0.0,Sample B  selection   (47 countries)
