Country Code,Country Name,Gulf,Extr. Rents 1995,Raw Miss. (%),Fully Missing Vars,ECI Obs,Years,Pass Rents,Pass HIC,Pass ECI
AGO,Angola,False,41.23,6.3,0,25,25,True,True,True
ALB,Albania,False,1.23,2.2,0,25,25,True,True,True
ARE,United Arab Emirates,True,17.88,10.3,3,25,25,True,True,True
ARG,Argentina,False,1.2,5.0,0,25,25,True,True,True
AZE,Azerbaijan,False,26.0,5.2,1,25,25,True,True,True
BHR,Bahrain,True,18.96,6.2,0,25,25,True,True,True
BIH,Bosnia and Herzegovina,False,1.31,6.8,1,25,25,True,True,True
BOL,Bolivia,False,4.17,0.3,0,25,25,True,True,True
BWA,Botswana,False,1.77,1.6,0,20,25,True,True,True
CHL,Chile,False,5.8,1.0,0,25,25,True,True,True
CMR,Cameroon,False,3.77,5.7,2,25,25,True,True,True
COD,"Congo, Dem. Rep.",False,2.17,6.9,1,25,25,True,True,True
COG,"Congo, Rep.",False,31.43,5.7,2,25,25,True,True,True
COL,Colombia,False,2.93,0.3,0,25,25,True,True,True
DOM,Dominican Republic,False,1.09,3.4,0,25,25,True,True,True
DZA,Algeria,False,18.66,3.0,0,25,25,True,True,True
ECU,Ecuador,False,6.63,5.4,2,25,25,True,True,True
EGY,"Egypt, Arab Rep.",False,8.13,1.1,0,25,25,True,True,True
EST,Estonia,False,1.01,6.0,2,25,25,True,True,True
GAB,Gabon,False,27.5,5.6,2,25,25,True,True,True
GHA,Ghana,False,1.47,4.7,2,25,25,True,True,True
GIN,Guinea,False,4.61,7.0,1,25,25,True,True,True
GUY,Guyana,False,12.77,7.7,2,0,25,True,True,False
IDN,Indonesia,False,5.04,1.6,0,25,25,True,True,True
IRN,"Iran, Islamic Rep.",True,20.74,5.4,0,25,25,True,True,True
IRQ,Iraq,True,23.07,6.5,0,25,25,True,True,True
JAM,Jamaica,False,2.24,2.5,1,25,25,True,True,True
KAZ,Kazakhstan,False,8.0,7.1,2,25,25,True,True,True
KWT,Kuwait,True,37.33,3.0,0,25,25,True,True,True
LBY,Libya,False,27.58,16.9,5,25,25,True,True,True
MEX,Mexico,False,3.52,0.5,0,25,25,True,True,True
MMR,Myanmar,False,2.43,8.3,1,25,25,True,True,True
MNG,Mongolia,False,11.5,1.3,0,25,25,True,True,True
MRT,Mauritania,False,2.09,7.0,0,25,25,True,True,True
MYS,Malaysia,False,4.54,0.8,0,25,25,True,True,True
NCL,New Caledonia,False,12.65,43.9,19,0,25,True,True,False
NGA,Nigeria,False,16.55,2.5,1,25,25,True,True,True
OMN,Oman,True,31.85,3.6,1,25,25,True,True,True
PAK,Pakistan,False,1.0,2.2,0,25,25,True,True,True
PER,Peru,False,2.91,1.3,0,25,25,True,True,True
PNG,Papua New Guinea,False,20.67,16.3,5,25,25,True,True,True
QAT,Qatar,True,30.37,9.0,1,25,25,True,True,True
ROU,Romania,False,2.4,2.6,1,25,25,True,True,True
RUS,Russian Federation,False,8.68,2.4,0,25,25,True,True,True
SAU,Saudi Arabia,True,29.02,4.9,2,25,25,True,True,True
SUR,Suriname,False,9.06,9.1,2,0,25,True,True,False
SYR,Syrian Arab Republic,False,6.07,16.5,6,0,25,True,True,False
TKM,Turkmenistan,False,47.67,19.7,8,25,25,True,True,True
TUN,Tunisia,False,2.54,4.7,2,25,25,True,True,True
UKR,Ukraine,False,2.78,1.6,0,25,25,True,True,True
UZB,Uzbekistan,False,11.12,11.3,1,25,25,True,True,True
VEN,"Venezuela, RB",False,15.03,8.5,0,25,25,True,True,True
VNM,Viet Nam,False,3.39,2.3,0,25,25,True,True,True
YEM,"Yemen, Rep.",True,40.09,7.9,2,25,25,True,True,True
ZAF,South Africa,False,3.13,1.4,0,25,25,True,True,True
ZWE,Zimbabwe,False,4.96,8.5,0,25,25,True,True,True
