Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.3800799633421942,0.15869827140835283,-2.3949848978770243,-0.6911228597113284,-0.06903706697306006,0.016621049852808125,"Original 47
(k=5 sample)",1126,0.8771
log_HCI_lag1,0.22997550526796215,0.09428384570260821,2.439182487245535,0.045182563366918504,0.4147684471690058,0.014720532459046469,"Original 47
(k=5 sample)",1126,0.8771
log_GFCF_lag1,0.00900159912839376,0.01693225468844435,0.5316243639151628,-0.02418501023801664,0.04218820849480416,0.5949861868639876,"Original 47
(k=5 sample)",1126,0.8771
Political stability — estimate_lag1,0.004565553042334556,0.010653218880832963,0.4285608972654076,-0.016314372283520152,0.025445478368189264,0.6682428072705253,"Original 47
(k=5 sample)",1126,0.8771
Rule of law index_lag1,0.0354875183997696,0.028636480289412142,1.2392416261048156,-0.020638951611469343,0.09161398841100854,0.2152560292661918,"Original 47
(k=5 sample)",1126,0.8771
log_Production_Value_lag1,0.0004815003441443512,0.003927191168884692,0.12260680049377264,-0.007215652907273402,0.008178653595562104,0.9024184690632446,"Original 47
(k=5 sample)",1126,0.8771
Trade (% of GDP)_lag1,0.00029166214769920404,0.0002559920166887826,1.1393407945755851,-0.0002100729853405863,0.0007933972807389944,0.2545610395752399,"Original 47
(k=5 sample)",1126,0.8771
ECI_lag1,0.8981724644665994,0.02640577354095575,34.01424552374959,0.8464180993424054,0.9499268295907933,1.3718305410232367e-253,"Original 47
(k=5 sample)",1126,0.8771
log_HCI_x_log_Production_lag1,-0.018899028500852143,0.02485188607369181,-0.760466567600221,-0.06760783015318061,0.029809773151476336,0.44697574596290446,"Original 47
(k=5 sample)",1126,0.8771
log_GFCF_x_log_Production_lag1,-0.0010772133330609335,0.0075360317104009025,-0.14294171978791048,-0.015847564071798485,0.013693137405676618,0.8863362092403204,"Original 47
(k=5 sample)",1126,0.8771
const,-0.3929591942488622,0.2021115298508309,-1.9442690604483925,-0.7890905136167827,0.0031721251190583444,0.05186301359859218,Adj. ≥3%,720,0.8477
log_HCI_lag1,0.20391268060491602,0.11317195068683973,1.8017952272393598,-0.01790026680143289,0.4257256280112649,0.07157762893417871,Adj. ≥3%,720,0.8477
log_GFCF_lag1,0.011765736532907994,0.02674602054815076,0.4399060604820139,-0.04065550047123573,0.06418697353705172,0.6600051462798175,Adj. ≥3%,720,0.8477
Political stability — estimate_lag1,0.009430717991060718,0.0169343475807576,0.5568988085361367,-0.023759993368907176,0.04262142935102861,0.5775965687268769,Adj. ≥3%,720,0.8477
