Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.449293610449369,0.158446170266535,-2.835623036477159,-0.7598423976600788,-0.13874482323865922,0.004573639444925341,"Original 47
(k=5 sample)",1120,0.8802
log_HCI,0.1642780357916555,0.07837003084750051,2.0961843961925006,0.010675597863261471,0.3178804737200496,0.03606583659233981,"Original 47
(k=5 sample)",1120,0.8802
log_GFCF,0.01838386180300405,0.018805493085542545,0.9775793551054165,-0.01847422735617635,0.055241950962184455,0.3282824121361708,"Original 47
(k=5 sample)",1120,0.8802
Political stability — estimate,0.013309890666371265,0.01250258341204589,1.0645712352174797,-0.01119472253494658,0.037814503867689114,0.2870700024704992,"Original 47
(k=5 sample)",1120,0.8802
Rule of law index,0.04848520086838572,0.030663400071094627,1.581207588068197,-0.011613958914502683,0.10858436065127411,0.11383058094031917,"Original 47
(k=5 sample)",1120,0.8802
log_Production_Value,-0.015334283616272829,0.006281103200135769,-2.441336040449291,-0.027645019671718216,-0.003023547560827443,0.014633031357941051,"Original 47
(k=5 sample)",1120,0.8802
Trade (% of GDP),0.00021269858021432785,0.00025255667488641186,0.8421815828466608,-0.00028230340661823097,0.0007077005670468867,0.399686321070458,"Original 47
(k=5 sample)",1120,0.8802
Hydrocarbons_Dominant,0.025184799722700213,0.03570879882031576,0.7052827469618457,-0.04480315989630504,0.09517275934170547,0.48063429514100675,"Original 47
(k=5 sample)",1120,0.8802
Subsoil_Metals_Dominant,-0.018418283217744455,0.03772314168278389,-0.4882489208514201,-0.09235428229970256,0.055517715864213654,0.625373536876888,"Original 47
(k=5 sample)",1120,0.8802
Precious_Metals_Dominant,-0.000247678911564686,0.04001225784859189,-0.006190075863799382,-0.0786702632349349,0.07817490541180552,0.9950610655789868,"Original 47
(k=5 sample)",1120,0.8802
Access to electricity (% of population),0.0022256303136515597,0.000842350605019299,2.642166219611807,0.0005746534654582091,0.0038766071618449105,0.00823776165720511,"Original 47
(k=5 sample)",1120,0.8802
ECI_lag1,0.8601125808135824,0.03492943139838208,24.62429379407025,0.791652153272291,0.9285730083548739,6.940075964286048e-134,"Original 47
(k=5 sample)",1120,0.8802
log_HCI_x_log_Production,-0.011228864191874213,0.026273793404788987,-0.4273788721284343,-0.06272455300250662,0.040266824618758204,0.6691033936150705,"Original 47
(k=5 sample)",1120,0.8802
log_GFCF_x_log_Production,0.01531928430645952,0.010426409527472163,1.4692770570823352,-0.0051161028554512,0.03575467146837024,0.14175765710062793,"Original 47
(k=5 sample)",1120,0.8802
const,-0.43621293865110444,0.19173943282228345,-2.275029878989028,-0.8120153213989172,-0.06041055590329175,0.022904137500015218,Adj. ≥3%,720,0.8514
log_HCI,0.0737179221717078,0.09597244541339628,0.7681154924642352,-0.11438461434678521,0.2618204586902008,0.44241857357140013,Adj. ≥3%,720,0.8514
log_GFCF,0.031134219844218228,0.031494790334065347,0.9885514243459776,-0.03059443491119007,0.09286287459962653,0.3228826625348703,Adj. ≥3%,720,0.8514
Political stability — estimate,0.021059183399562323,0.020942327052017932,1.0055799122635292,-0.019987023374851705,0.06210539017397635,0.31461769085788993,Adj. ≥3%,720,0.8514
Rule of law index,0.06345644685716234,0.06061237456307897,1.0469223044730505,-0.05534162430392413,0.18225451801824882,0.2951354138160056,Adj. ≥3%,720,0.8514
log_Production_Value,-0.01892372882919517,0.009387014770001617,-2.0159474862733076,-0.03732193970074388,-0.0005255179576464618,0.04380546732717658,Adj. ≥3%,720,0.8514
Trade (% of GDP),0.0002478774379673992,0.00035944575526775617,0.6896101409870644,-0.0004566232967532013,0.0009523781726879997,0.49043938835168666,Adj. ≥3%,720,0.8514
Hydrocarbons_Dominant,0.015025116941819239,0.052611568768247255,0.2855857997317003,-0.08809166301409771,0.11814189689773619,0.7751953808625285,Adj. ≥3%,720,0.8514
Subsoil_Metals_Dominant,-0.02846559266560507,0.05393908763519127,-0.5277358945729251,-0.13418426178952972,0.07725307645831958,0.5976826562145526,Adj. ≥3%,720,0.8514
Precious_Metals_Dominant,0.037084591139678436,0.07111262302691801,0.5214909753172926,-0.10229358883925457,0.17646277111861144,0.6020247907498151,Adj. ≥3%,720,0.8514
Access to electricity (% of population),0.0031627404217100695,0.0014564459084814058,2.171546779246864,0.00030815889565579454,0.006017321947764344,0.02988986505540831,Adj. ≥3%,720,0.8514
ECI_lag1,0.8534796525875721,0.04347088071399116,19.633364647081525,0.7682782920119126,0.9386810131632316,8.02221795635313e-86,Adj. ≥3%,720,0.8514
