Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.44929361044936883,0.15844617026654503,-2.8356230364769788,-0.7598423976600983,-0.1387448232386394,0.00457363944492792,"Original 47
(k=5 sample)",1120,0.0718
log_HCI,0.16427803579165445,0.07837003084751544,2.096184396192088,0.010675597863231134,0.31788047372007777,0.03606583659237639,"Original 47
(k=5 sample)",1120,0.0718
log_GFCF,0.01838386180300458,0.018805493085542354,0.9775793551054547,-0.018474227356175446,0.05524195096218461,0.32828241213615195,"Original 47
(k=5 sample)",1120,0.0718
Political stability — estimate,0.013309890666370464,0.012502583412046091,1.0645712352173984,-0.011194722534947778,0.037814503867688705,0.28707000247053593,"Original 47
(k=5 sample)",1120,0.0718
Rule of law index,0.04848520086838599,0.030663400071094544,1.5812075880682102,-0.011613958914502252,0.10858436065127422,0.11383058094031615,"Original 47
(k=5 sample)",1120,0.0718
log_Production_Value,-0.015334283616272957,0.006281103200135809,-2.441336040449296,-0.02764501967171842,-0.0030235475608274935,0.01463303135794085,"Original 47
(k=5 sample)",1120,0.0718
Trade (% of GDP),0.00021269858021458568,0.0002525566748864061,0.8421815828477008,-0.0002823034066179619,0.0007077005670471332,0.3996863210698758,"Original 47
(k=5 sample)",1120,0.0718
Hydrocarbons_Dominant,0.025184799722702454,0.035708798820315975,0.7052827469619042,-0.04480315989630323,0.09517275934170813,0.48063429514097034,"Original 47
(k=5 sample)",1120,0.0718
Subsoil_Metals_Dominant,-0.018418283217744066,0.03772314168278361,-0.48824892085141336,-0.09235428229970163,0.0555177158642135,0.6253735368768929,"Original 47
(k=5 sample)",1120,0.0718
Precious_Metals_Dominant,-0.0002476789115639878,0.04001225784859179,-0.006190075863781947,-0.07867026323493401,0.07817490541180602,0.9950610655790006,"Original 47
(k=5 sample)",1120,0.0718
Access to electricity (% of population),0.0022256303136512705,0.0008423506050193186,2.6421662196114024,0.0005746534654578815,0.0038766071618446594,0.008237761657214944,"Original 47
(k=5 sample)",1120,0.0718
ECI_lag1,-0.13988741918641787,0.03492943139838225,-4.004858183660462,-0.20834784672770962,-0.07142699164512613,6.205469824590101e-05,"Original 47
(k=5 sample)",1120,0.0718
log_HCI_x_log_Production,-0.01122886419187415,0.026273793404788717,-0.4273788721284363,-0.06272455300250604,0.04026682461875773,0.669103393615069,"Original 47
(k=5 sample)",1120,0.0718
