,(3a),(3b),(3c),(3d),(3e)
SE estimator,HAC-panel (k=3),HAC-panel (k=3),HAC-panel (k=3),HAC-panel (k=3),HAC-panel (k=3)
────────────────────,,,,,
Human Capital (log),2.9011***,0.2663***,,0.1643**,0.1643**
,(0.2227),(0.0985),,(0.0784),(0.0784)
GFCF (log),0.0684,0.0204,,0.0184,0.0184
,(0.0542),(0.0183),,(0.0188),(0.0188)
Political Stability,-0.0179,0.0113,,0.0133,0.0133
,(0.0460),(0.0114),,(0.0125),(0.0125)
Rule of Law,0.2987**,0.0200,,0.0485,0.0485
,(0.1490),(0.0279),,(0.0307),(0.0307)
NR Production (log),-0.0023,-0.0033,,-0.0153**,-0.0153**
,(0.0175),(0.0042),,(0.0063),(0.0063)
Trade,0.0005,0.0000,,0.0002,0.0002
,(0.0011),(0.0003),,(0.0003),(0.0003)
HCI × Production,-0.1312,-0.0302,,-0.0112,-0.0112
,(0.0941),(0.0257),,(0.0263),(0.0263)
GFCF × Production,0.0015,0.0058,,0.0153,0.0153
,(0.0292),(0.0089),,(0.0104),(0.0104)
ECI (t−1),,0.8957***,0.8982***,0.8601***,-0.1399***
,,(0.0260),(0.0264),(0.0349),(0.0349)
Human Capital (t−1),,,0.2300**,,
,,,(0.0943),,
GFCF (t−1),,,0.0090,,
,,,(0.0169),,
Political Stability (t−1),,,0.0046,,
,,,(0.0107),,
Rule of Law (t−1),,,0.0355,,
,,,(0.0286),,
NR Production (t−1),,,0.0005,,
,,,(0.0039),,
Trade (t−1),,,0.0003,,
,,,(0.0003),,
HCI × Production (t−1),,,-0.0189,,
,,,(0.0249),,
GFCF × Production (t−1),,,-0.0011,,
,,,(0.0075),,
Hydrocarbons dominant,,,,0.0252,0.0252
,,,,(0.0357),(0.0357)
Subsoil metals dominant,,,,-0.0184,-0.0184
,,,,(0.0377),(0.0377)
Precious metals dominant,,,,-0.0002,-0.0002
,,,,(0.0400),(0.0400)
Electricity access,,,,0.0022***,0.0022***
,,,,(0.0008),(0.0008)
const,-4.2690***,-0.4072***,-0.3801**,-0.4493***,-0.4493***
,(0.3199),(0.1478),(0.1587),(0.1584),(0.1584)
────────────────────,,,,,
N,1173,1126,1126,1120,1120
R²,0.4248,0.8773,0.8771,0.8802,0.0718
