,Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
0,Algeria,DZA,1995,4.053870151752343,-0.725517327,2,"Oil, Few Minerals",<b>Algeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $332<br>  Natural Gas: $147<br>  Zinc: $0
1,Angola,AGO,1995,1.3583316973279331,-2.241664687,1,"Some Oil, No Minerals",<b>Angola</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $334
2,Azerbaijan,AZE,1995,3.171729568504172,-0.722913987,1,"Some Oil, No Minerals",<b>Azerbaijan</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $174<br>  Natural Gas: $57<br>  Aluminium: $3
3,Bahrain,BHR,1995,1.0891997159341953,1.725204001764637,1,"Some Oil, No Minerals",<b>Bahrain</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $1.6K<br>  Natural Gas: $921
4,Bolivia,BOL,1995,-2.016490363,1.976807058894451,0,"Minerals, No Oil",<b>Bolivia</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $26<br>  Zinc: $24<br>  Gold: $24
5,Burkina Faso,BFA,1995,-3.52137497,-1.130379501,3,"No Oil, No Minerals",<b>Burkina Faso</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $2
6,Cameroon,CMR,1995,-3.181219827,-0.9381678,3,"No Oil, No Minerals",<b>Cameroon</b><br>Cluster: 3<br><br>Top Resources:<br>  Aluminium: $12<br>  Gold: $1
7,Chad,TCD,1995,-3.437162044,-1.598112907,3,"No Oil, No Minerals",<b>Chad</b><br>Cluster: 3<br><br>Top Resources:<br>  (No significant production)
8,Chile,CHL,1995,-4.313387083,5.452860988440601,0,"Minerals, No Oil",<b>Chile</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $558<br>  Gold: $41<br>  Silver: $13
9,"Congo, Dem. Rep.",COD,1995,-3.593431755,-0.563264275,3,"No Oil, No Minerals","<b>Congo, Dem. Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $3<br>  Cobalt: $2<br>  Tin: $1"
10,"Congo, Rep.",COG,1995,1.6441037609497111,-2.28001509,1,"Some Oil, No Minerals","<b>Congo, Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $472"
11,Cote d'Ivoire,CIV,1995,-3.52119593,-1.131373922,3,"No Oil, No Minerals",<b>Cote d'Ivoire</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $2
12,Ecuador,ECU,1995,0.9203848256810616,-1.164313166,1,"Some Oil, No Minerals",<b>Ecuador</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $246<br>  Gold: $9
13,"Egypt, Arab Rep.",EGY,1995,2.0015821637590716,-1.008466893,1,"Some Oil, No Minerals","<b>Egypt, Arab Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $102<br>  Natural Gas: $13<br>  Aluminium: $6"
14,Equatorial Guinea,GNQ,1995,0.2704979155327705,-2.095678183,1,"Some Oil, No Minerals",<b>Equatorial Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $89
15,Ethiopia,ETH,1995,-3.457338487,-1.486049391,3,"No Oil, No Minerals",<b>Ethiopia</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $0
16,Gabon,GAB,1995,3.039889689717614,-2.888932545,1,"Some Oil, No Minerals",<b>Gabon</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $2.3K<br>  Manganese: $462
17,Ghana,GHA,1995,-3.39451413,0.5006997772797327,3,"No Oil, No Minerals",<b>Ghana</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $39<br>  Aluminium: $16<br>  Manganese: $7
18,Guinea,GIN,1995,-3.665834518,-0.072381358,3,"No Oil, No Minerals",<b>Guinea</b><br>Cluster: 3<br><br>Top Resources:<br>  Bauxite: $59<br>  Gold: $14
19,Indonesia,IDN,1995,1.4164545848482395,2.617579092198655,1,"Some Oil, No Minerals",<b>Indonesia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $57<br>  Natural Gas: $21<br>  Copper: $10
20,"Iran, Islamic Rep.",IRN,1995,3.5343164320337848,0.8001850228320733,2,"Oil, Few Minerals","<b>Iran, Islamic Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $435<br>  Natural Gas: $35<br>  Copper: $5"
21,Iraq,IRQ,1995,2.1568921691868734,-1.465727749,1,"Some Oil, No Minerals",<b>Iraq</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $184<br>  Natural Gas: $10
22,Kazakhstan,KAZ,1995,1.984486651,5.423762234315521,0,"Minerals, No Oil",<b>Kazakhstan</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $228<br>  Oil: $195<br>  Copper: $45
23,Kenya,KEN,1995,-3.443236449,-1.564365953,3,"No Oil, No Minerals",<b>Kenya</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $0<br>  Lead: $0
24,Kuwait,KWT,1995,7.2630152541053565,-0.856517429,2,"Oil, Few Minerals",<b>Kuwait</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $9.2K<br>  Natural Gas: $358
25,Lao PDR,LAO,1995,-3.434915283,-1.465783335,3,"No Oil, No Minerals",<b>Lao PDR</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $0
26,Liberia,LBR,1995,-3.58538165,-0.774875146,3,"No Oil, No Minerals",<b>Liberia</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $5
27,Libya,LBY,1995,5.277601076365292,-1.124131268,2,"Oil, Few Minerals",<b>Libya</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $2.1K<br>  Natural Gas: $84
