Country Code,Country,cluster,GDP_per_capita,Is_Dominant,Dominant_Count,Max_Reserve_Concentration,Resource_Diversity,PC1,PC2,Coal_Prod_perGDPpc,Natural Gas_Prod_perGDPpc,Oil_Prod_perGDPpc,Minerals_Prod_perGDPpc,Resource_Diversity,Coal_Prod_Share,Natural Gas_Prod_Share,Oil_Prod_Share,Minerals_Prod_Share,Aluminium_Res_Share,Bauxite_Res_Share,Cobalt_Res_Share,Copper_Res_Share,Gold_Res_Share,Lead_Res_Share,Lithium_Res_Share,Manganese_Res_Share,Natural Gas_Res_Share,Natural Graphite_Res_Share,Nickel_Res_Share,Oil_Res_Share,Platinum Group_Res_Share,Rare Earth_Res_Share,Silver_Res_Share,Tin_Res_Share,Vanadium_Res_Share,Zinc_Res_Share,Dominant_Resources_List
AFG,Afghanistan,1,2439.677,False,0,,0,-0.7714630523854457,-0.03945771531148686,174203.38839936597,0.0,0.0,0.0,0,0.004616261162284934,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,4,6596.756,False,0,0.4626298444569507,1,0.607260401722824,-1.109141903792798,0.0,0.0,179020.00301360246,0.012127172810393473,1,,,1.2338570715314403,1.3206704729667052e-09,,,,,,,,,,,,0.4626298444569507,,,,,,,
ALB,Albania,1,13862.63,False,0,,0,-0.7737288786754031,-0.0409074896535302,13807.336703064282,0.0,0.0,7293.709779457434,0,0.002079011962419553,,,0.0016691623940207944,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,1,69576.041,False,0,5.813336603866091,3,0.39023593911543736,-0.3659575408302649,0.0,31.770507695314254,57573.301820952984,38806.462126811726,3,,1.5128572808822456,4.185175974311087,0.0445726284626263,4.588815789473684,,,,,,,,3.1900281098871504,,,5.813336603866091,,,,,,,
ARG,Argentina,1,22071.752,False,0,14.682131845543973,3,0.5572052266833103,-0.4671113751837455,588.9881328858716,71.95074931070266,55008.2363647435,22443.712216411273,3,0.00014120328261106854,1.0868915707373321,1.268520244226555,0.008177790494599829,,,,,,,14.682131845543973,,0.20711044003651097,,,0.14757478881134473,,,1.1122518822724161,,,,
ARM,Armenia,1,13637.865,False,0,,0,-0.7739875649359768,-0.041233501756644135,439.95156133309723,0.0,0.0,4955.850787494964,0,6.517074582049317e-05,,,0.001115755638582333,,,,,,,,,,,,,,,,,,,
AUS,Australia,4,50474.874,True,10,46.71613080516626,12,2.9604169191773164,1.6316811142579122,9170791.322827274,107.08403430586075,7231.1430296983,20551744.030307036,12,5.027863696656083,3.6992532139379732,0.3813423766847645,17.124914303177764,2.8453947368421053,16.802688430148823,16.335670743601653,12.539184952978054,21.314387211367674,38.9321468298109,25.69373072970195,26.76659528907923,1.2835881151290809,,19.65440995823438,0.14208449082248253,,6.260673659242999,16.084873374401095,13.26770811042157,46.71613080516626,30.303030303030305,"Bauxite, Cobalt, Gold, Lead, Lithium, Manganese, Nickel, Silver, Vanadium, Zinc"
AUT,Austria,1,56239.228,False,0,,3,-0.12205843969070809,0.107302628316368,139.65341060513845,0.0,0.0,402539.2916133201,3,8.530850627902557e-05,,,0.3737249647698285,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,1,14541.29,False,0,1.344854797318893,0,-0.07761512258086531,-0.5656214409306495,0.0,93.48248518528962,41133.23982260171,2126.6937802629614,0,,0.9303519600125033,0.6249261916968329,0.0005105195501250542,,,,,,,,,1.344854797318893,,,0.4160874869842805,,,,,,,
BDI,Burundi,1,751.762,False,0,,0,-0.774105463511932,-0.04156554272683345,0.0,0.0,0.0,266.10815657082964,0,,,,3.3025016014623673e-06,,,,,,,,,,,,,,,,,,,
