Country Code,Country,cluster,GDP_per_capita,Is_Dominant,Dominant_Count,Max_Reserve_Concentration,Resource_Diversity,PC1,PC2,Coal_Prod_perGDPpc,Natural Gas_Prod_perGDPpc,Oil_Prod_perGDPpc,Minerals_Prod_perGDPpc,Resource_Diversity,Coal_Prod_Share,Natural Gas_Prod_Share,Oil_Prod_Share,Minerals_Prod_Share,Aluminium_Res_Share,Bauxite_Res_Share,Cobalt_Res_Share,Copper_Res_Share,Gold_Res_Share,Lead_Res_Share,Lithium_Res_Share,Manganese_Res_Share,Natural Gas_Res_Share,Natural Graphite_Res_Share,Nickel_Res_Share,Oil_Res_Share,Platinum Group_Res_Share,Rare Earth_Res_Share,Silver_Res_Share,Tin_Res_Share,Vanadium_Res_Share,Zinc_Res_Share,Dominant_Resources_List
AFG,Afghanistan,4,2439.677,False,0,,0,-0.7740840332375607,-0.0400021783849055,174203.38839936597,0.0,0.0,0.0,0,0.004616261162284934,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,0,6596.756,False,0,0.45135678237200416,1,0.6052424749404498,-1.0953909042993473,0.0,0.0,179020.00301360246,0.012127172810393473,1,,,1.2338570715314403,1.3206704729667052e-09,,,,,,,,,,,,0.45135678237200416,,,,,,,
ALB,Albania,4,13862.63,False,0,,0,-0.7763523129369282,-0.04148977674369818,13807.336703064282,0.0,0.0,7293.709779457434,0,0.0020790119624195533,,,0.0016691623940207944,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,0,69576.041,False,0,5.671681011946808,3,0.386636408259444,-0.37396865361440906,0.0,31.770507695314254,57573.301820952984,38806.462126811726,3,,1.5128572808822456,4.185175974311087,0.0445726284626263,4.588815789473684,,,,,,,,3.1900281098871504,,,5.671681011946808,,,,,,,
ARG,Argentina,0,22071.752,False,0,14.682131845543973,3,0.5535337368149971,-0.47253075270674044,588.9881328858716,71.95074931070266,55008.2363647435,22443.712216411273,3,0.0001412032826110686,1.0868915707373321,1.268520244226555,0.008177790494599829,,,,,,,14.682131845543973,,0.20711044003651097,,,0.1439787826816581,,,1.1122518822724161,,,,
ARM,Armenia,4,13637.865,False,0,,0,-0.7766095505093908,-0.04181974642337651,439.95156133309723,0.0,0.0,4955.850787494964,0,6.517074582049319e-05,,,0.001115755638582333,,,,,,,,,,,,,,,,,,,
AUS,Australia,0,50474.874,True,10,46.71613080516626,12,2.9411085721658856,1.5832915470877358,9170791.322827274,107.08403430586075,7231.1430296983,20551744.030307036,12,5.027863696656085,3.6992532139379732,0.3813423766847645,17.124914303177764,2.8453947368421053,16.802688430148823,16.335670743601653,12.539184952978054,21.314387211367674,38.9321468298109,25.69373072970195,26.76659528907923,1.2835881151290809,,19.65440995823438,0.13862226869059646,,6.260673659242999,16.084873374401095,13.26770811042157,46.71613080516626,30.303030303030305,"Bauxite, Cobalt, Gold, Lead, Lithium, Manganese, Nickel, Silver, Vanadium, Zinc"
AUT,Austria,4,56239.228,False,0,,3,-0.1261347675940677,0.09078431621326764,139.65341060513845,0.0,0.0,402539.2916133201,3,8.530850627902558e-05,,,0.3737249647698285,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,4,14541.29,False,0,1.344854797318893,0,-0.0801581069436462,-0.5549892434674905,0.0,93.48248518528962,41133.23982260171,2126.6937802629614,0,,0.9303519600125033,0.6249261916968329,0.0005105195501250542,,,,,,,,,1.344854797318893,,,0.4059485386873994,,,,,,,
BDI,Burundi,4,751.762,False,0,,0,-0.7767248126731662,-0.04215317873778846,0.0,0.0,0.0,266.10815657082964,0,,,,3.3025016014623673e-06,,,,,,,,,,,,,,,,,,,
BEL,Belgium,4,52314.838,False,0,,0,-0.7766676567995461,-0.04211988893211322,4167.077799227821,0.0,0.0,0.0,0,0.002367870431477919,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,4,3156.439,False,0,,0,-0.7767309735941339,-0.042171787528006204,0.0,0.0,0.0,0.0015840635602335418,0,,,,8.254190456041907e-11,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,4,2104.873,False,0,,1,-0.505263706145174,0.16707099819973786,0.0,0.0,0.0,2492610.1954844785,1,,,,0.0866133318771664,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,4,5815.383,False,0,0.05920935590047579,0,-0.21539836147478028,-0.38387106420890243,141005.33017343827,122.10696069373247,0.0,0.0,0,0.008906668595467402,0.485996157888239,,,,,,,,,,,0.05920935590047579,,,,,,,,,,
BGR,Bulgaria,4,23409.596,False,0,,1,-0.5530942152723977,0.0010619358164567078,644112.7941720993,0.0,0.0,3956.7367587206545,1,0.1637786493490262,,,0.0015290988355857386,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,4,50118.484,False,0,0.03482465983512068,1,-0.5077211845141426,-0.03848604481296087,0.0,11.903569349783206,0.0,31924.349507459166,1,,0.40830925506319227,,0.026413409459334104,,,,,,,,,0.03482465983512068,,,,,,,,,,
BIH,Bosnia and Herzegovina,4,14389.734,False,0,,0,-0.7622687136653868,-0.028215186689165426,888936.5154352401,0.0,0.0,41261.01288599219,0,0.13893925090126463,,,0.009801603540836083,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,4,8757.259,False,0,8.559811684142948,1,-0.33724722925635847,-0.14014859590740833,0.0,48.94612895427667,0.0,68083.81652295541,1,,0.2933598238702966,,0.009842752578723257,,,,,,1.7797552836484982,,,0.11434337476869973,,,,,,3.764544832306639,8.559811684142948,,,
BRA,Brazil,0,15546.657,True,1,23.065639797211052,9,3.5620062495873652,0.9210536527344084,488523.8120323874,52.885166431600055,222916.16191185027,30694351.75677961,9,0.08249434812254325,0.5627104548865361,3.6208576183326633,7.877709542542502,,12.962073931829094,,,4.262877442273535,,1.4315078549405373,14.453961456102785,0.1872144492691068,,13.102939972156252,0.6915629890348829,,23.065639797211052,,8.987802268350096,0.6595218466611706,,Rare Earth
BRA,Brazil1,4,15546.657,True,1,19.776883873245648,1,-0.5628715541286489,-0.0069309673578053154,0.0,0.0,0.0,4373.9306784731925,1,,,,0.0011225699020216992,,,,,,,,,,19.776883873245648,,,,,,,,,Natural Graphite
BRN,Brunei,4,59660.203,False,0,0.11941001626239865,0,-0.7372412868108369,-0.0698674125645875,0.0,6.254792331162534,1662.0353866378898,0.0,0,,0.2553946018522115,0.10359954942070504,,,,,,,,,,0.11941001626239865,,,0.06379191322230561,,,,,,,
BTN,Bhutan,4,12409.57,False,0,,0,-0.7765362906646314,-0.04201221246811585,12812.692140017743,0.0,0.0,0.0,0,0.0017270247642430696,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,4,15117.995,False,0,,1,-0.5567526536731059,0.0069846488657212165,136550.71323942096,0.0,0.0,179048.2987988817,1,0.022422788010281497,,,0.04468573210165192,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,4,945.181,False,0,,0,-0.7767309356882621,-0.04217167303499127,0.0,0.0,0.0,1.6388395450183615,0,,,,2.5571482032817828e-08,,,,,,,,,,,,,,,,,,,
CAN,Canada,0,49538.627,False,0,9.747845710816618,9,2.609133570066325,-0.7541677024960596,859113.7479446089,141.09643535336576,118856.97138921513,1175708.5839298696,9,0.4622703888993972,4.783811949712057,6.151789960361543,0.9614974478703076,5.427631578947369,,2.1140279785837435,1.0407523510971788,5.683836589698046,,4.404639553663192,,1.2644450135921657,1.5768056061101259,1.8016542461714846,9.747845710816618,0.4659552081767624,0.9116419538897701,0.838466803559206,,,0.8522727272727272,
CHE,Switzerland,4,70660.605,False,0,,0,-0.7767270418080607,-0.042159911741480184,0.0,0.0,0.0,169.8258881310173,0,,,,0.00019810057094500578,,,,,,,,,,,,,,,,,,,
CHL,Chile,4,23880.123,True,2,34.13595654088974,2,-0.3264695756636793,0.09622842088490786,5090.844800087503,0.0,0.0,979079.891018568,2,0.001320467928232893,,,0.3859749960209146,,,,23.824451410658305,,,34.13595654088974,,,,,,,,4.4490075290896645,,,,"Copper, Lithium"
CHN,China,2,15893.004,True,7,73.51973684210526,17,12.379750955601116,2.973369747224628,300761265.77455086,562.6392022552816,268271.2905628162,27013441.341863375,17,51.91936083699291,6.119980989737579,4.454644640198431,7.087456199278433,73.51973684210526,3.2645223235717715,1.3452905318260184,5.141065830721003,5.506216696269982,24.47163515016685,11.01159888415798,14.989293361884368,4.511340310407209,21.647670185579695,3.6033084923429692,1.5056490598152132,,48.328007194156484,11.978097193702943,21.39952921035737,22.533663094256664,21.78030303030303,"Aluminium, Lead, Natural Graphite, Rare Earth, Tin, Vanadium, Zinc"
CIV,Cote d'Ivoire,4,4840.268,False,0,,0,-0.7742673109460972,-0.03473040309455115,0.0,0.0,0.0,106412.14783974772,0,,,,0.008502861381352231,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,4,3743.317,False,0,,0,-0.7763462709514857,-0.041009810153062806,0.0,0.0,0.0,16616.33252006175,0,,,,0.0010268245944077957,,,,,,,,,,,,,,,,,,,
COD,DR Congo,4,1116.671,True,1,57.65530850682937,1,-0.5588100433082138,0.005336647049378404,0.0,0.0,0.0,179801.39181549445,1,,,,0.003314536211147276,,,57.65530850682937,,,,,,,,,,,,,,,,Cobalt
COD,Democratic Republic of Congo,4,1116.671,False,0,10.031347962382444,2,-0.27988926406434445,0.23685286754863805,7164.15130329345,0.0,0.0,2989646.8162959367,2,8.689432776065759e-05,,,0.055112435621869946,,,,10.031347962382444,,,,,,,,,,,,2.5679435052428845,,,
COG,Congo,4,4093.991,False,0,,0,-0.7766178700367122,-0.04183016321826685,0.0,0.0,0.0,4885.245228922096,0,,,,0.00033017009449881314,,,,,,,,,,,,,,,,,,,
COG,Republic of Congo,4,4093.991,False,0,0.1671348126424407,0,-0.7767309736308082,-0.04217178763877955,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,0.1671348126424407,,,,,,,
COG,Republic of Congo ,4,4093.991,False,0,,0,-0.35114656861179405,-0.4385896435498443,0.0,0.0,65217.53467459992,0.0,0,,,0.27896141352914744,,,,,,,,,,,,,,,,,,,,
COL,Colombia,4,14999.853,False,0,1.2433392539964476,0,-0.2652006403983501,-0.3863354510270543,3516484.051543705,26.629325447389384,51510.25170046666,592.7190086462848,0,0.5729241060511687,0.27337655105836745,0.807260213806327,0.00014677102915830174,,,,,1.2433392539964476,,,,0.046306948716482,,,0.1180730321096493,,,,,,,
CRI,Costa Rica,4,20271.551,False,0,,0,-0.7765680398775265,-0.04167965341889314,0.0,0.0,0.0,7037.542415970046,0,,,,0.0023551169868416097,,,,,,,,,,,,,,,,,,,
CUB,Cuba,4,,False,0,4.804609042235781,3,-0.13545651191868582,0.06263306837774679,0.0,0.0,0.0,0.0,3,,,,0.13517901988435577,,,4.804609042235781,,,,,,,,,,,,,,,,
CYP,Cyprus,4,42048.93,False,0,,0,-0.7767309736308082,-0.04217178763877955,0.0,0.0,0.0,0.0,0,,,,0.0,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,4,41061.763,False,0,,0,-0.7674253153734936,-0.03454424818985064,612434.3426267401,0.0,0.0,0.0,0,0.2731483420536276,,,,,,,,,,,,,,,,,,,,,,
CZE,Czechia,4,41061.763,False,0,,1,-0.5623869946042553,-0.005467376673107495,0.0,0.0,0.0,25303.34608380064,1,,,,0.017152207767655085,,,,,,,,,,,,,,,,,,,
DEU,Germany,4,54190.139,False,0,0.01056025983735513,2,-0.30365414274101954,0.06812732884559357,1695880.4995868343,2.431616062103107,0.0,373909.68888269505,2,0.9981985901505541,0.09018397222644975,,0.3344964130987984,,,,0.0,,,,,0.01056025983735513,,,,,,,,,,
DNK,Denmark,4,57060.339,False,0,0.024803869236178666,0,-0.7644928460517441,-0.05188311714236999,0.0,1.1618549944121432,1060.0383895370828,0.0,0,,0.04537330019316016,0.0631958871306421,,,,,,,,,,0.015055415129376103,,,0.024803869236178666,,,,,,,
DOM,Dominican Republic,4,19089.518,False,0,,0,-0.7765944351349098,-0.04175937913035171,0.0,0.0,0.0,5897.461004515671,0,,,,0.001858508372467551,,,,,,,,,,,,,,,,,,,
DZA,Algeria,0,12786.558,False,0,1.2242883898572154,2,1.5777662767597416,-1.3750114923938708,0.0,266.67899109361565,107962.37939874045,51874.018793798925,2,,2.3337619144427384,1.4423111936165582,0.010949846451433211,,,,,,,,,1.2242883898572154,,,0.7075103102837532,,,,,,,
ECU,Ecuador,4,11448.816,False,0,0.07553815597378713,0,-0.5055448636992086,-0.2936533104411082,0.0,0.0,41513.77740720088,12234.58827532908,0,,,0.496575972300601,0.0023123545023459938,,,,,,,,,,,,0.07553815597378713,,,,,,,
EGY,Egypt,4,12682.907,False,0,1.1482873791692887,1,0.38271013515704744,-0.6902417070635367,740.1300033186399,134.88154892249864,50187.71323482858,20501.135741198766,1,0.00010195963183616159,1.170807361075651,0.6650420242124148,0.004292410121457799,,,,,,,,,1.1482873791692887,,,0.18244487181579405,,,,,,,
ERI,Eritrea,4,1761.128,False,0,,0,-0.7749631418693597,-0.036832129726972904,0.0,0.0,0.0,76357.35846571061,0,,,,0.002219965876839706,,,,,,,,,,,,,,,,,,,
ESP,Spain,4,40854.649,False,0,,1,-0.5624560566116302,-0.005709959540162494,1016.2721285403774,0.0,0.0,21653.402284768134,1,0.0004509754904228397,,,0.014604009583084786,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,4,2588.09,False,0,,0,-0.7767150875427454,-0.04215869034577068,1043.2403819032568,0.0,0.0,1.4914473607950263,0,2.9326835619221936e-05,,,6.372235032064352e-08,,,,,,,,,,,,,,,,,,,
FIN,Finland,4,48624.746,False,0,,0,-0.7766931923542338,-0.04205767095823438,0.0,0.0,0.0,1631.8738816651096,0,,,,0.001309930995289492,,,,,,,,,,,,,,,,,,,
FJI,Fiji,4,13580.555,False,0,,0,-0.7767309716668828,-0.04217178170682929,0.0,0.0,0.0,0.0848271664891457,0,,,,1.9017654810720556e-08,,,,,,,,,,,,,,,,,,,
FRA,France,4,47766.863,False,0,,2,-0.34095073315524066,0.05251894744088484,4187.003027600954,0.0,0.0,354193.345290437,2,0.0021723581940164397,,,0.279300426679177,,,,,,,,,,,,,,,,,,,
GAB,Gabon,4,15604.385,False,0,3.2655246252676657,0,-0.6762312138228732,-0.1088122153874569,0.0,0.0,14354.939332758067,294788.97335588676,0,,,0.2340350435600338,0.07593856266189904,,,,,,,,3.2655246252676657,,,,0.11598529676782839,,,,,,,
GBR,United Kingdom,4,47106.551,False,0,0.1449816209597855,0,-0.5776988964711021,-0.18953295042059146,2261.0443290573326,23.475940851623804,13870.298912352979,42207.861067986065,0,0.001156889356223455,0.7568649714520006,0.6826529978336966,0.03282306502891473,,,,,,,,,0.10043727559370497,,,0.1449816209597855,,,,,,,
GEO,Georgia,4,15423.107,False,0,,1,-0.06443510980689092,1.4982536693849466,9589.507483803362,0.0,0.0,21526876.914943274,1,0.0016064588844751572,,,5.48096943731183,,,,,,,,,,,,,,,,,,,
GHA,Ghana,4,5585.885,False,0,1.7761989342806392,0,-0.7691541851036109,-0.019286431867038826,0.0,0.0,0.0,327261.6604172839,0,,,,0.03017807969281117,,,,,1.7761989342806392,,,0.6959314775160599,,,,,,,,,,,
GIN,Guinea,3,2405.22,True,1,35.525684109457515,1,0.6883772712087457,3.7724109562066306,0.0,0.0,0.0,54049140.61582725,1,,,,2.1460907400590163,,35.525684109457515,,,,,,,,,,,,,,,,,Bauxite
