,Country,Country Code,Year,PC1,PC2,PC3,Cluster,hover_text
0,Albania,ALB,1995,-1.0676049533439085,-0.13488964780853627,-0.576489908581055,0,<b>Albania</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $11.9M<br>  Coal: $4.8M<br>  Bauxite: $38.9K
1,Algeria,DZA,1995,-0.1568873215347942,0.394625891523103,2.232566606703239,3,<b>Algeria</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $9.5B<br>  Natural Gas: $4.2B<br>  Zinc: $4.8M
2,Angola,AGO,1995,-1.9336872516201828,-1.114292381437885,0.5009413441464913,0,<b>Angola</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $4.6B
3,Argentina,ARG,1995,1.8588866677820317,1.1489230302087987,1.8004841094217277,4,<b>Argentina</b><br>Cluster: 4<br><br>Top Resources:<br>  Oil: $5.5B<br>  Natural Gas: $1.7B<br>  Aluminium: $374.6M
4,Armenia,ARM,1995,-1.114205905046629,0.6226553823174683,-1.1086031767922888,0,<b>Armenia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $26.3M<br>  Gold: $4.0M<br>  Coal: $1.1M
5,Australia,AUS,1995,10.367525289649762,-2.4061990963238427,-1.8716921920151766,2,<b>Australia</b><br>Cluster: 2<br><br>Top Resources:<br>  Coal: $11.4B<br>  Oil: $4.2B<br>  Gold: $3.4B
6,Austria,AUT,1995,-0.9495574587186191,-1.0449756962742758,-0.9591330208546458,0,<b>Austria</b><br>Cluster: 0<br><br>Top Resources:<br>  Magnesium compounds: $134.9M<br>  Coal: $57.2M
7,Azerbaijan,AZE,1995,-1.2212901320595346,-1.5425696397567714,1.9108985858663048,3,<b>Azerbaijan</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1.3B<br>  Natural Gas: $439.7M<br>  Aluminium: $22.2M
8,Bahrain,BHR,1995,-1.4110023343105689,-1.197988122967047,0.9848806210953118,3,<b>Bahrain</b><br>Cluster: 3<br><br>Top Resources:<br>  Aluminium: $916.8M<br>  Natural Gas: $514.7M
9,Bangladesh,BGD,1995,-1.8976008109858595,-0.9908778040635864,0.5471318058737192,0,<b>Bangladesh</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $459.9M
10,Bolivia,BOL,1995,1.4945217415500196,1.8842399381765165,-0.4009059863665108,1,<b>Bolivia</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $207.6M<br>  Zinc: $192.9M<br>  Gold: $191.6M
11,Bosnia and Herzegovina,BIH,1995,-1.3427257729708997,-0.7922836061731708,-0.42883810693905455,0,<b>Bosnia and Herzegovina</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $75.1M<br>  Bauxite: $1.9M
12,Botswana,BWA,1995,-1.305669684182503,0.24885659894150636,-0.5982080189617313,0,<b>Botswana</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $66.7M<br>  Coal: $41.2M
13,Brazil,BRA,1995,7.94747166937927,-2.7029223812777845,-0.8411001147331846,2,<b>Brazil</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $5.2B<br>  Aluminium: $2.4B<br>  Gold: $830.2M
14,Brunei Darussalam,BRN,1995,-1.6097870782102581,-1.3812521015828816,1.5868313747581826,3,<b>Brunei Darussalam</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1.3B<br>  Natural Gas: $782.2M
15,Bulgaria,BGR,1995,0.8212092872793684,3.0684767479290196,-0.5836176262924977,1,<b>Bulgaria</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $1.5B<br>  Copper: $252.3M<br>  Lead: $32.4M
16,Burkina Faso,BFA,1995,-1.8977626116339412,-0.19330844160534894,-1.1154724613893447,0,<b>Burkina Faso</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $18.1M
17,Cameroon,CMR,1995,-1.471659453445051,-0.4087970349929028,-0.6915698885586894,0,<b>Cameroon</b><br>Cluster: 0<br><br>Top Resources:<br>  Aluminium: $160.2M<br>  Gold: $7.4M
18,Canada,CAN,1995,6.011986966578341,0.9992128106784611,1.42585411514376,5,<b>Canada</b><br>Cluster: 5<br><br>Top Resources:<br>  Oil: $17.4B<br>  Natural Gas: $10.4B<br>  Aluminium: $4.4B
19,Chad,TCD,1995,-2.2297677168704677,-0.7079689636058975,-0.5709340160939715,0,<b>Chad</b><br>Cluster: 0<br><br>Top Resources:<br>  (No significant production)
20,Chile,CHL,1995,1.847081078072635,2.989734895552884,-1.4451385284576408,1,<b>Chile</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $8.1B<br>  Gold: $593.0M<br>  Silver: $184.4M
21,China,CHN,1995,13.344773251152416,-5.1771576991203085,-2.9031428696069326,2,<b>China</b><br>Cluster: 2<br><br>Top Resources:<br>  Coal: $62.3B<br>  Oil: $21.6B<br>  Aluminium: $3.8B
22,Colombia,COL,1995,0.18394123472231702,0.8157656854451162,0.9260994881181036,1,<b>Colombia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $4.3B<br>  Coal: $1.2B<br>  Natural Gas: $287.5M
