Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.023108360751205093,0.028452850936841346,0.024424961488485056,0.14279775396062203,0.18408268674880174,0.15428410624455913,2.9764774333049178,1,1
Electricity,0.009522397926487005,0.02996337621794572,0.013932949211988122,0.05884350910311615,0.19442173878739927,0.08800966247319768,5.201025445732192,1,1
HC x Production,0.009077410520452371,0.019688715990078036,0.01107412094930943,0.05609371638494615,0.12409504640846372,0.06995142464866692,5.403094148538006,1,1
Political Stability,0.005982672564135201,0.013304703194525359,0.00731613777120389,0.03696983157041073,0.08039856457266525,0.04621353354945511,2.200783408902232,1,1
Production Value,-0.001820032689931018,-0.02375349278500262,-0.006354880053772263,0.011246863551042022,0.15191711554806994,0.04014159816996468,2.845329616168461,1,1
Rule of Law,0.004494193142668985,0.00536333216199514,0.004828775888835083,0.027771796257979604,0.026042474416324693,0.030501721471103364,2.316433759956485,1,1
Inflation,-0.003438939951251951,-0.008527493968747473,-0.004395261451698828,0.021250875660603505,0.04770012820589718,0.027763359426634538,1.1567336608695928,1,1
Depreciation,-0.002918878212038933,-0.009857904960522437,-0.004373474780365872,0.018037162274352127,0.05680635677999084,0.0276257404946156,1.2377839606885033,1,1
Trade,-4.1166485680898885e-05,-0.007622286101021911,-0.0015713360678569683,0.0002543876546231393,0.04150427609588153,0.009925591119291833,1.851916620491545,1,1
Capital Formation,0.00011228938320122559,0.005596538083522001,0.0014282095074743676,0.0006938904878366335,0.027638692757412292,0.009021509716383666,1.5095584258513668,1,1
Human Capital,0.0008372256582547938,0.0025362011705738997,0.0013311793939189147,0.005173622865081556,0.006691686444828081,0.008408603761311077,3.2265517510558284,1,1
Savings,-0.0,-0.008015169562856242,-0.0012587267593403395,0.0,0.044193435031400746,0.007950945313157985,2.252411852034265,0,1
Urban Population,0.0,0.006254388154929173,0.0,0.0,0.032141461567015486,0.0,2.5333740482493137,0,0
Landlocked,0.0,0.0042365405158331934,0.0,0.0,0.018329953737552706,0.0,1.4758291563820543,0,0
Investment Share,0.0,0.003568457503915683,0.0,0.0,0.013757143793406638,0.0,1.9341951330352636,0,0
Gov Revenue,-0.0,-0.0015585523967403384,-0.0,0.0,0.0,0.0,2.5051257550904062,0,0
IMF Credit,-0.0,-0.006714439828884566,-0.0,0.0,0.035290364969672305,0.0,2.3310055529646583,0,0
Interest Rate,0.0,0.0021790295621659066,0.0,0.0,0.004246963478430634,0.0,1.2246012822972796,0,0
RuleLaw x Production,0.0,-0.003612267673384839,0.0,0.0,0.014057010090003947,0.0,6.2299524790263945,0,0
