Feature,Imp_LASSO,Imp_Ridge,Imp_ElasticNet,Imp_RF,Imp_Overall,Lasso_Stability,Avg_Signed_Coef,VIF
L1_ECI,1.0,1.0,1.0,1.0,1.0,1.0,0.1559316497220747,2.1669627021734352
Domestic credit to private sector (% of GDP),0.14279775396062203,0.18408268674880174,0.15428410624455913,0.013476832607730974,0.08693250746286264,1.0,0.025328724392177163,2.9764774333049178
Access to electricity (% of population),0.05884350910311615,0.19442173878739927,0.08800966247319768,0.00839242385659048,0.06107536365558076,0.98,0.017806241118806947,5.201025445732192
HCI_x_ProductionValue,0.05609371638494615,0.12409504640846372,0.06995142464866692,0.001166066889425584,0.04227306468505892,1.0,0.013280082486613278,5.403094148538006
Total_Production_Value,0.011246863551042022,0.15191711554806994,0.04014159816996468,0.0008925325904379058,0.03433052917339839,0.96,-0.010642801842901966,2.845329616168461
Political stability — estimate,0.03696983157041073,0.08039856457266525,0.04621353354945511,0.0023809888698931043,0.028454149383701735,0.97,0.00886783784328815,2.200783408902232
Capital depreciation rate,0.018037162274352127,0.05680635677999084,0.0276257404946156,0.0006920393303679577,0.01742422959001041,0.99,-0.0057167526509757476,1.2377839606885033
Rule of law index,0.027771796257979604,0.026042474416324693,0.030501721471103364,0.005543602278093136,0.016824466496614513,0.92,0.004895433731166403,2.316433759956485
"Inflation, consumer prices (annual %)",0.021250875660603505,0.04770012820589718,0.027763359426634538,0.0010642511759072781,0.01665118613680951,0.8,-0.00545389845723275,1.1567336608695928
Trade (% of GDP),0.0002543876546231393,0.04150427609588153,0.009925591119291833,0.0038364432115670505,0.010532264084082943,0.92,-0.0030782628848532597,1.851916620491545
Adjusted savings: gross savings (% of GNI),0.0,0.044193435031400746,0.007950945313157985,0.0009760556590119881,0.009178757886932449,0.93,-0.0030912987740655267,2.252411852034265
Human capital index,0.005173622865081556,0.006691686444828081,0.008408603761311077,0.0063322539258355804,0.006545112474787909,0.76,0.0015682020742492028,3.2265517510558284
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.0006938904878366335,0.027638692757412292,0.009021509716383666,0.0003201521697767059,0.006385758245160451,0.89,0.0023790123247325315,1.5095584258513668
"Use of IMF credit (DOD, current US$)",0.0,0.035290364969672305,0.0,0.0010007889474633023,0.0063821219686770354,0.76,-0.0022381466096281885,2.3310055529646583
Urban population (% of total population),0.0,0.032141461567015486,0.0,0.001333454257617391,0.006023637389977943,0.78,0.0020847960516430578,2.5333740482493137
RuleOfLaw_x_ProductionValue,0.0,0.014057010090003947,0.0,0.00233992279709069,0.003512796413546003,0.39,-0.001204089224461613,6.2299524790263945
Landlocked,0.0,0.018329953737552706,0.0,0.0,0.0030549922895921175,0.78,0.0014121801719443978,1.4758291563820543
Share of investment in GDP,0.0,0.013757143793406638,0.0,0.0008311396275468531,0.0027084271126745327,0.7,0.001189485834638561,1.9341951330352636
Real interest rate (%),0.0,0.004246963478430634,0.0,0.0005905832162556859,0.0010031188545329486,0.82,0.0007263431873886355,1.2246012822972796
Government revenue,0.0,0.0,0.0,0.00034481786242795503,0.00017240893121397752,0.7,-0.0005195174655801128,2.5051257550904062
