Country,Year,Value,Resource,Metric
Canada,1965.0,920.0,Oil,Production
Mexico,1965.0,361.99999999999994,Oil,Production
US,1965.0,9014.148000000001,Oil,Production
Total North America,1965.0,10296.148000000001,Oil,Production
Argentina,1965.0,275.6739726027397,Oil,Production
Brazil,1965.0,96.05,Oil,Production
Colombia,1965.0,203.0,Oil,Production
Ecuador,1965.0,8.000000000000002,Oil,Production
Guyana,1965.0,0.0,Oil,Production
Peru,1965.0,66.0,Oil,Production
Trinidad & Tobago,1965.0,135.0,Oil,Production
Venezuela,1965.0,3503.0,Oil,Production
Other S. & Cent. America,1965.0,47.13452054794519,Oil,Production
Total S. & Cent. America,1965.0,4333.858493150686,Oil,Production
Denmark,1965.0,0.0,Oil,Production
Italy,1965.0,47.76627397260273,Oil,Production
Norway,1965.0,0.0,Oil,Production
Romania,1965.0,265.77591780821916,Oil,Production
United Kingdom,1965.0,1.7398356164383564,Oil,Production
Other Europe,1965.0,470.4719452054794,Oil,Production
Total Europe,1965.0,785.7539726027396,Oil,Production
Azerbaijan,1965.0,0.0,Oil,Production
Kazakhstan,1965.0,0.0,Oil,Production
Russian Federation,1965.0,0.0,Oil,Production
Turkmenistan,1965.0,0.0,Oil,Production
Uzbekistan,1965.0,0.0,Oil,Production
Other CIS,1965.0,0.0,Oil,Production
Total CIS,1965.0,4857.759999999999,Oil,Production
Iran,1965.0,1908.0000000000002,Oil,Production
Iraq,1965.0,1313.0000000000002,Oil,Production
Kuwait,1965.0,2371.0000000000005,Oil,Production
Oman,1965.0,0.0,Oil,Production
Qatar,1965.0,233.0,Oil,Production
Saudi Arabia,1965.0,2219.3,Oil,Production
Syria,1965.0,0.0,Oil,Production
United Arab Emirates,1965.0,282.2,Oil,Production
Yemen,1965.0,0.0,Oil,Production
Other Middle East,1965.0,60.99616438356164,Oil,Production
Total Middle East,1965.0,8387.496164383563,Oil,Production
Algeria,1965.0,569.9438356164384,Oil,Production
Angola,1965.0,13.297397260273973,Oil,Production
Chad,1965.0,0.0,Oil,Production
Republic of Congo ,1965.0,1.3772054794520547,Oil,Production
Egypt,1965.0,126.01041095890412,Oil,Production
Equatorial Guinea,1965.0,0.0,Oil,Production
Gabon,1965.0,25.334657534246578,Oil,Production
Libya,1965.0,1220.0,Oil,Production
Nigeria,1965.0,274.2,Oil,Production
South Sudan,1965.0,0.0,Oil,Production
Sudan,1965.0,0.0,Oil,Production
Tunisia,1965.0,0.0,Oil,Production
Other Africa,1965.0,2.139013698630137,Oil,Production
Total Africa,1965.0,2232.3025205479453,Oil,Production
Australia,1965.0,7.0,Oil,Production
Brunei,1965.0,79.99999999999999,Oil,Production
China,1965.0,227.12958904109593,Oil,Production
India,1965.0,62.34427397260275,Oil,Production
Indonesia,1965.0,486.00000000000006,Oil,Production
Malaysia,1965.0,1.0,Oil,Production
Thailand,1965.0,0.0,Oil,Production
Vietnam,1965.0,0.0,Oil,Production
Other Asia Pacific,1965.0,35.11397260273972,Oil,Production
Total Asia Pacific,1965.0,898.5878356164385,Oil,Production
Total World,1965.0,31791.906986301376,Oil,Production
of which: OECD,1965.0,11018.182082191783,Oil,Production
                 Non-OECD,1965.0,20773.724904109593,Oil,Production
                 OPEC,1965.0,13687.35569863014,Oil,Production
                 Non-OPEC ,1965.0,18104.551287671227,Oil,Production
                 European Union #,1965.0,697.0976438356162,Oil,Production
Canada,1966.0,1011.9999999999999,Oil,Production
Mexico,1966.0,369.99999999999994,Oil,Production
US,1966.0,9579.241,Oil,Production
Total North America,1966.0,10961.241,Oil,Production
Argentina,1966.0,292.8641095890411,Oil,Production
Brazil,1966.0,117.05,Oil,Production
Colombia,1966.0,199.0,Oil,Production
Ecuador,1966.0,7.0,Oil,Production
Guyana,1966.0,0.0,Oil,Production
Peru,1966.0,66.0,Oil,Production
Trinidad & Tobago,1966.0,153.0,Oil,Production
Venezuela,1966.0,3402.0,Oil,Production
Other S. & Cent. America,1966.0,54.41109589041096,Oil,Production
Total S. & Cent. America,1966.0,4291.325205479452,Oil,Production
Denmark,1966.0,0.0,Oil,Production
Italy,1966.0,39.07699178082191,Oil,Production
Norway,1966.0,0.0,Oil,Production
Romania,1966.0,271.00205479452063,Oil,Production
United Kingdom,1966.0,1.6155616438356164,Oil,Production
Other Europe,1966.0,486.67797260273977,Oil,Production
Total Europe,1966.0,798.372580821918,Oil,Production
Azerbaijan,1966.0,0.0,Oil,Production
Kazakhstan,1966.0,0.0,Oil,Production
Russian Federation,1966.0,0.0,Oil,Production
Turkmenistan,1966.0,0.0,Oil,Production
Uzbekistan,1966.0,0.0,Oil,Production
Other CIS,1966.0,0.0,Oil,Production
Total CIS,1966.0,5302.0,Oil,Production
Iran,1966.0,2132.0,Oil,Production
Iraq,1966.0,1392.0000000000002,Oil,Production
Kuwait,1966.0,2505.0,Oil,Production
Oman,1966.0,0.0,Oil,Production
Qatar,1966.0,290.99999999999994,Oil,Production
