,Country,Year,Value,Resource,Metric,Price
0,Canada,1965,920,Oil,Production,
1,Mexico,1965,362,Oil,Production,
2,US,1965,9014.148,Oil,Production,
3,Total North America,1965,10296.148,Oil,Production,
4,Argentina,1965,275.6739726,Oil,Production,
5,Brazil,1965,96.05,Oil,Production,
6,Colombia,1965,203,Oil,Production,
7,Ecuador,1965,8,Oil,Production,
8,Guyana,1965,0,Oil,Production,
9,Peru,1965,66,Oil,Production,
10,Trinidad & Tobago,1965,135,Oil,Production,
11,Venezuela,1965,3503,Oil,Production,
12,Other S. & Cent. America,1965,47.13452055,Oil,Production,
13,Total S. & Cent. America,1965,4333.858493,Oil,Production,
14,Denmark,1965,0,Oil,Production,
15,Italy,1965,47.76627397,Oil,Production,
16,Norway,1965,0,Oil,Production,
17,Romania,1965,265.7759178,Oil,Production,
18,United Kingdom,1965,1.739835616,Oil,Production,
19,Other Europe,1965,470.4719452,Oil,Production,
20,Total Europe,1965,785.7539726,Oil,Production,
21,Azerbaijan,1965,0,Oil,Production,
22,Kazakhstan,1965,0,Oil,Production,
23,Russian Federation,1965,0,Oil,Production,
24,Turkmenistan,1965,0,Oil,Production,
25,Uzbekistan,1965,0,Oil,Production,
26,Other CIS,1965,0,Oil,Production,
27,Total CIS,1965,4857.76,Oil,Production,
28,Iran,1965,1908,Oil,Production,
29,Iraq,1965,1313,Oil,Production,
30,Kuwait,1965,2371,Oil,Production,
31,Oman,1965,0,Oil,Production,
32,Qatar,1965,233,Oil,Production,
33,Saudi Arabia,1965,2219.3,Oil,Production,
34,Syria,1965,0,Oil,Production,
35,United Arab Emirates,1965,282.2,Oil,Production,
36,Yemen,1965,0,Oil,Production,
37,Other Middle East,1965,60.99616438,Oil,Production,
38,Total Middle East,1965,8387.496164,Oil,Production,
39,Algeria,1965,569.9438356,Oil,Production,
40,Angola,1965,13.29739726,Oil,Production,
41,Chad,1965,0,Oil,Production,
42,Republic of Congo ,1965,1.377205479,Oil,Production,
43,Egypt,1965,126.010411,Oil,Production,
44,Equatorial Guinea,1965,0,Oil,Production,
45,Gabon,1965,25.33465753,Oil,Production,
46,Libya,1965,1220,Oil,Production,
47,Nigeria,1965,274.2,Oil,Production,
48,South Sudan,1965,0,Oil,Production,
49,Sudan,1965,0,Oil,Production,
50,Tunisia,1965,0,Oil,Production,
51,Other Africa,1965,2.139013699,Oil,Production,
