,Country,Country Code,Year,PC1,PC2,PC3,Cluster,hover_text
0,Albania,ALB,1995.0,-1.0761651700227555,-0.12277978308923376,-0.5275247708193328,5,<b>Albania</b><br>Cluster: 5<br><br>Top Resources:<br>  Copper: $11.9M<br>  Coal: $4.8M<br>  Bauxite: $38.9K
1,Algeria,DZA,1995.0,-0.06837518601646943,0.2725063892371448,2.309233280679113,0,<b>Algeria</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $25.9M<br>  Zinc: $4.8M<br>  Lead: $898.2K
2,Angola,AGO,1995.0,-1.9267336428777875,-1.1380053302383413,0.48146918935773264,5,<b>Angola</b><br>Cluster: 5<br><br>Top Resources:<br>  Oil: $12.5M
3,Argentina,ARG,1995.0,1.9015027958424022,1.076324070109096,1.830498906003608,4,<b>Argentina</b><br>Cluster: 4<br><br>Top Resources:<br>  Aluminium: $374.6M<br>  Zinc: $42.4M<br>  Oil: $15.0M
4,Armenia,ARM,1995.0,-1.1246019991593024,0.6471393182626525,-1.034954116288812,5,<b>Armenia</b><br>Cluster: 5<br><br>Top Resources:<br>  Copper: $26.3M<br>  Gold: $4.0M<br>  Coal: $1.1M
5,Australia,AUS,1995.0,10.377929591103909,-2.2821029424543258,-2.1398261985722433,1,<b>Australia</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $11.4B<br>  Gold: $3.4B<br>  Aluminium: $2.6B
6,Austria,AUT,1995.0,-0.9591893226104771,-1.0156855595200847,-0.9266402611682211,5,<b>Austria</b><br>Cluster: 5<br><br>Top Resources:<br>  Magnesium compounds: $134.9M<br>  Coal: $57.2M
7,Azerbaijan,AZE,1995.0,-1.2178270070378585,-1.5876672742125282,1.7425202676757745,0,<b>Azerbaijan</b><br>Cluster: 0<br><br>Top Resources:<br>  Aluminium: $22.2M<br>  Oil: $3.7M<br>  Natural Gas: $455
8,Bahrain,BHR,1995.0,-1.4048499731358188,-1.2307024517426342,0.8988598372289536,0,<b>Bahrain</b><br>Cluster: 0<br><br>Top Resources:<br>  Aluminium: $916.8M<br>  Natural Gas: $533
9,Bangladesh,BGD,1995.0,-1.8971899191348278,-0.9996893632381132,0.41156315764766954,5,<b>Bangladesh</b><br>Cluster: 5<br><br>Top Resources:<br>  Natural Gas: $476
10,Bolivia,BOL,1995.0,1.438174473618409,1.984192842468093,-0.7224268002331349,3,<b>Bolivia</b><br>Cluster: 3<br><br>Top Resources:<br>  Zinc: $192.9M<br>  Gold: $191.6M<br>  Tin: $121.7M
11,Bosnia and Herzegovina,BIH,1995.0,-1.3487773693731533,-0.7860173860504391,-0.387401895306149,5,<b>Bosnia and Herzegovina</b><br>Cluster: 5<br><br>Top Resources:<br>  Coal: $75.1M<br>  Bauxite: $1.9M
12,Botswana,BWA,1995.0,-1.3142459134185736,0.2603554802371521,-0.54285879615549,5,<b>Botswana</b><br>Cluster: 5<br><br>Top Resources:<br>  Copper: $66.7M<br>  Coal: $41.2M
13,Brazil,BRA,1995.0,7.9016011877343795,-2.5582743897763027,-1.272432259212403,1,<b>Brazil</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $2.4B<br>  Gold: $830.2M<br>  Magnesium compounds: $307.4M
14,Brunei Darussalam,BRN,1995.0,-1.586135612393515,-1.4292436073293406,1.4434419853293845,0,<b>Brunei Darussalam</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $3.5M<br>  Natural Gas: $810
15,Bulgaria,BGR,1995.0,0.79808206081482,3.094452844432593,-0.46871003274777434,3,<b>Bulgaria</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $1.5B<br>  Copper: $252.3M<br>  Lead: $32.4M
16,Burkina Faso,BFA,1995.0,-1.903643779605965,-0.17114160924783262,-1.067695186789084,5,<b>Burkina Faso</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $18.1M
17,Cameroon,CMR,1995.0,-1.4760270255555992,-0.405715428334635,-0.6100373955057123,5,<b>Cameroon</b><br>Cluster: 5<br><br>Top Resources:<br>  Aluminium: $160.2M<br>  Gold: $7.4M
18,Canada,CAN,1995.0,6.120228056889963,0.8618486171251152,1.7465541388134844,2,<b>Canada</b><br>Cluster: 2<br><br>Top Resources:<br>  Aluminium: $4.4B<br>  Coal: $3.4B<br>  Copper: $2.4B
19,Chad,TCD,1995.0,-2.2330112444936936,-0.6997631977415298,-0.5488920708210875,5,<b>Chad</b><br>Cluster: 5<br><br>Top Resources:<br>  (No significant production)
20,Chile,CHL,1995.0,1.8181341435820875,3.0543068133502564,-1.3770500613066479,3,<b>Chile</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $8.1B<br>  Gold: $593.0M<br>  Silver: $184.4M
21,China,CHN,1995.0,13.3327881572548,-4.977843778015986,-3.3386233398628344,1,<b>China</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $62.3B<br>  Aluminium: $3.8B<br>  Magnesium compounds: $3.2B
22,Colombia,COL,1995.0,0.16510022123404525,0.8131041787473555,0.7830127060750703,3,<b>Colombia</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $1.2B<br>  Gold: $281.5M<br>  Oil: $11.7M
23,"Congo, Dem. Rep.",COD,1995.0,1.1758710324834014,0.6189155630828005,-2.724143930907328,3,"<b>Congo, Dem. Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $114.0M<br>  Cobalt: $104.2M<br>  Tin: $39.2M"
24,"Congo, Rep.",COG,1995.0,-1.9503204616345655,-1.104255758946644,0.40211978812949584,5,"<b>Congo, Rep.</b><br>Cluster: 5<br><br>Top Resources:<br>  Oil: $3.6M"
25,Costa Rica,CRI,1995.0,-1.9248524842602972,-0.2051807307138478,-1.034288298637386,5,<b>Costa Rica</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $6.2M
26,Cote d'Ivoire,CIV,1995.0,-1.8966575520035855,-0.15992899377590883,-1.0786995422138421,5,<b>Cote d'Ivoire</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $25.8M
27,Croatia,HRV,1995.0,-1.8814400616350435,-0.4496596118232,-0.4368669676532107,5,<b>Croatia</b><br>Cluster: 5<br><br>Top Resources:<br>  Coal: $3.4M
28,Cyprus,CYP,1995.0,-2.2330112444936936,-0.6997631977415301,-0.5488920708210876,5,<b>Cyprus</b><br>Cluster: 5<br><br>Top Resources:<br>  (No significant production)
29,Czechia,CZE,1995.0,-1.7194949976533989,-0.3344538065741762,-0.3852645799018626,5,<b>Czechia</b><br>Cluster: 5<br><br>Top Resources:<br>  Coal: $3.5B
30,Denmark,DNK,1995.0,-1.624837204653871,-1.3952930625811777,1.3333306180594997,0,<b>Denmark</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $3.7M<br>  Natural Gas: $389
